VideoId,Title,PublishedAt,ChannelId,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,CommentCount
FmpkYprJ1QU,CHUPA! CRAQUE NETO MANDA RECADO PRA ELENCO DO DONOS DA BOLA: FALEI QUE CORINTHIANS IA VENCER O VASCO,2023-11-29T03:22:44Z,UCg4y0neDAbTFqkcWQtBnWsA,Craque Neto 10,Sports,55316,3326,0,216
8yFOYJxJkHA,PASSEI 100 DIAS NO TERRARIA ONE PIECE - O FILME,2023-11-27T15:00:10Z,UCjkv2LwJjEPnEs6MbvikrcA,Promptz,Gaming,130489,7693,0,368
olDWm2veCrM,BABYMONSTER - 'BATTER UP' M/V,2023-11-26T15:00:12Z,UCqwUnggBBct-AY2lAdI88jQ,BABYMONSTER,People & Blogs,49784228,1701309,0,166839
ZZJqb9Oq_VA,JOGO COMPLETO: FRANÇA X MALI | SEMIFINAL | COPA DO MUNDO SUB-17 FIFA™ 2023,2023-11-28T14:32:14Z,UCZiYbVptd3PVPf4f6eR6UaQ,CazéTV,Sports,379408,12044,0,29
VPeziwYbaf0,FIZ O QUE OS INSCRITOS MANDARAM,2023-11-27T14:48:40Z,UCHkLdUqjUct7f4iskfqQzWQ,Onerb,Gaming,124792,6117,0,333
ExDSKscakaY,O MELHOR JOGO DA SUPERCOPA DESIMPEDIDOS 23 - PICANHA FC vs 40 YEARS,2023-11-27T21:00:06Z,UCFjrDmEnxrG5TRGVO0TPHLA,Desimpedidos,Sports,669705,50815,0,1074
G3R38_cbtAg,COMPORTAMENTO DE INSTRUTOR LEVA CONSUMIDORA A DESISTIR DE AUTOESCOLA,2023-11-27T13:00:12Z,UCphlPoUKlwm2B0v2DT2Oshw,Repórter Ben Mendes,People & Blogs,375102,22066,0,1624
VVF371QesxM,FEZ UM GOLAÇO?? PASSA DE NÍVEL!! (SÓ VALE GOLAÇO) 😱 *CAPITA ROUBOU o CAIO LO?,2023-11-27T22:06:04Z,UCriRvZSnEFPSMqSya2s2U6g,Banheiristas,Sports,668205,31177,0,1738
51wCh-ItoeE,ELE é SENSACIONAL! REVELEI TUDO SOBRE O NOVO BRAWLER MICO! NOVA HIPERCARGA LENDÁRIA CONFIRMADA,2023-11-27T17:15:00Z,UCAggUdtRa55X348VWYf5XjA,Vinhô,Gaming,127703,10325,0,730
bBmSbIJya2U,RAGATHA vs POMNI no GACHA LIFE 2 do DIGITAL CIRCUS,2023-11-27T21:00:17Z,UC3OGdttknCgXelktBVLKVKQ,MarcelinhaVR,Entertainment,209196,5636,0,414
6XQDNsIWE1U,O fim da novela das indicações de Lula para PGR e STF | Giro VEJA,2023-11-27T21:02:51Z,UCV6Ue4o5UIeKQ3IEkjnXRlg,vejapontocom,News & Politics,105488,1841,0,744
bwjgjQ6irnU,🔴 BLACK DESMASCARADO!; VAR faz revelação IMPRESSIONANTE; Polêmicas A Fazenda,2023-11-28T04:26:56Z,UCwOlAMtl-8YkAn8-Awtd9qw,Cairo Jardim,Entertainment,81206,8403,0,440
AssGEsgH9Zw,AO VIVO E COM IMAGENS: CORINTHIANS X SÃO PAULO | FINAL - VOLTA | PAULISTÃO FEMININO 2023,2023-11-26T17:05:11Z,UCaf4uhI8ItLyM_6kZ5I5Zdw,Paulistão,Sports,711018,19877,0,28
_xX7HMh8Gvw,O TÃO ESPERADO TOUR da NOSSA CASA NOVA em CURITIBA🏡 (APÊ 40m2)😍,2023-11-27T16:20:41Z,UCI4au5F8TE8l3U35YR9myIA,Meu Jeito Maiko de Ser,People & Blogs,93161,13966,0,874
jGm6fReUNeI,[#2023MAMA] ENHYPEN (엔하이픈) - Bite Me + Sweet Venom | Mnet 231128 방송,2023-11-28T12:18:29Z,UCbD8EppRX3ZwJSou-TVo90A,Mnet K-POP,Gaming,1642980,155290,0,5052
XdM_sD0WXzo,COMPRANDO MEU MATERIAL ESCOLAR 2024 !!,2023-11-26T22:00:13Z,UC_eBg6o7KnGs23t6p3T9YAg,Manuzinha Star,Entertainment,183026,6105,0,322
